text,aspectTerms/aspectTerm/0/_term,aspectTerms/aspectTerm/0/_polarity,aspectTerms/aspectTerm/0/_from,aspectTerms/aspectTerm/0/_to,aspectTerms/aspectTerm/1/_term,aspectTerms/aspectTerm/1/_polarity,aspectTerms/aspectTerm/1/_from,aspectTerms/aspectTerm/1/_to,aspectTerms/aspectTerm/2/_term,aspectTerms/aspectTerm/2/_polarity,aspectTerms/aspectTerm/2/_from,aspectTerms/aspectTerm/2/_to,aspectTerms/aspectTerm/3/_term,aspectTerms/aspectTerm/3/_polarity,aspectTerms/aspectTerm/3/_from,aspectTerms/aspectTerm/3/_to,aspectCategories/aspectCategory/0/_category,aspectCategories/aspectCategory/0/_polarity,_id,aspectCategories/aspectCategory/1/_category,aspectCategories/aspectCategory/1/_polarity,aspectCategories/aspectCategory/2/_category,aspectCategories/aspectCategory/2/_polarity,aspectTerms/aspectTerm/4/_term,aspectTerms/aspectTerm/4/_polarity,aspectTerms/aspectTerm/4/_from,aspectTerms/aspectTerm/4/_to
"All the appetizers and salads were fabulous, the steak was mouth watering and the pasta was delicious!!!",appetizers,positive,8,18,salads,positive,23,29,steak,positive,49,54,pasta,positive,82,87,food,positive,813,,,,,,,,
And really large portions.,portions,positive,17,25,,,,,,,,,,,,,food,positive,1579,,,,,,,,
Go inside and you won't want to leave.,,,,,,,,,,,,,,,,,anecdotes/miscellaneous,positive,2707,,,,,,,,
Save yourself the time and trouble and skip this one!,,,,,,,,,,,,,,,,,anecdotes/miscellaneous,negative,3126,,,,,,,,
The sweet lassi was excellent as was the lamb chettinad and the garlic naan but the rasamalai was forgettable.,sweet lassi,positive,4,15,lamb chettinad,positive,41,55,garlic naan,positive,64,75,rasamalai,negative,84,93,food,conflict,2882,,,,,,,,
Service was quick.,Service,positive,0,7,,,,,,,,,,,,,service,positive,1609,,,,,,,,
"Oh, don't even let me start with how expensive the bills were!",bills,negative,51,56,,,,,,,,,,,,,price,negative,3018,,,,,,,,
Service is top notch.,Service,positive,0,7,,,,,,,,,,,,,service,positive,3292,,,,,,,,
The best thing I tasted were the lambc hops.,lambc hops,positive,33,43,,,,,,,,,,,,,food,positive,2041,,,,,,,,
Overall I would recommend it and go back again.,,,,,,,,,,,,,,,,,anecdotes/miscellaneous,positive,2609,,,,,,,,
I've been here a couple of times and have not been impressed.,,,,,,,,,,,,,,,,,anecdotes/miscellaneous,negative,1194,,,,,,,,
"Even though its good seafood, the prices are too high.",seafood,positive,21,28,prices,negative,34,40,,,,,,,,,food,positive,3440,price,negative,,,,,,
"In addition, the food is very good and the prices are reasonable.",food,positive,17,21,prices,positive,43,49,,,,,,,,,food,positive,870,price,positive,,,,,,
The food is great and authentic.,food,positive,4,8,,,,,,,,,,,,,food,positive,2507,,,,,,,,
I was at Rao's last Wed.,,,,,,,,,,,,,,,,,anecdotes/miscellaneous,neutral,586,,,,,,,,
"I recommend the garlic shrimp, okra (bindi), and anything with lamb.",garlic shrimp,positive,16,29,okra (bindi),positive,31,43,lamb,positive,63,67,,,,,food,positive,3081,,,,,,,,
"The menu was impressive with selections ranging from a burger, to steak, to escargot.",menu,positive,4,8,burger,neutral,55,61,steak,neutral,66,71,escargot,neutral,76,84,food,positive,1884,,,,,,,,
very good breads as well.,breads,positive,10,16,,,,,,,,,,,,,food,positive,2077,,,,,,,,
"Anyway, the food is good, the price is right and they have a decent wine list.",food,positive,12,16,price,positive,30,35,wine list,positive,68,77,,,,,food,positive,201,price,positive,,,,,,
The food was lousy -too sweet or too salty and the portions tiny.,food,negative,4,8,portions,negative,51,59,,,,,,,,,food,negative,3049,,,,,,,,
But the coconut rice was good.,coconut rice,positive,8,20,,,,,,,,,,,,,food,positive,1242,,,,,,,,
And the Tom Kha soup was pathetic.,Tom Kha soup,negative,8,20,,,,,,,,,,,,,food,negative,2211,,,,,,,,
The food now is inconsistent.,food,negative,4,8,,,,,,,,,,,,,food,negative,3343,,,,,,,,
"Try the crunchy tuna, it is to die for.",crunchy tuna,positive,8,20,,,,,,,,,,,,,food,positive,2141,,,,,,,,
Reasonable prices.,prices,positive,11,17,,,,,,,,,,,,,price,positive,83,,,,,,,,
Everything at Sala Thai is tasty and well-portioned.,,,,,,,,,,,,,,,,,food,positive,381,,,,,,,,
Add to that great service and great food at a reasonable price and you have yourself the beginning of a great evening.,service,positive,18,25,food,positive,36,40,price,positive,57,62,,,,,food,positive,3315,price,positive,service,positive,,,,
"Unfortunately, the food was NOT something to get worked up about.",food,negative,19,23,,,,,,,,,,,,,food,negative,1709,,,,,,,,
The food is great and reasonably priced.,food,positive,4,8,priced,positive,33,39,,,,,,,,,food,positive,193,price,positive,,,,,,
I got enough reasons to keep coming back!!!,,,,,,,,,,,,,,,,,anecdotes/miscellaneous,positive,2459,,,,,,,,
"Their calzones are horrific, bad, vomit-inducing, YUCK.",calzones,negative,6,14,,,,,,,,,,,,,food,negative,1293,,,,,,,,
"A few tips: skip the turnip cake, roast pork buns and egg custards.",turnip cake,negative,21,32,roast pork buns,negative,34,49,egg custards,negative,54,66,,,,,food,negative,2105,,,,,,,,
The bagels are fabulous.,bagels,positive,4,10,,,,,,,,,,,,,food,positive,2152,,,,,,,,
I never had anything I didn't like here.,,,,,,,,,,,,,,,,,anecdotes/miscellaneous,positive,3358,,,,,,,,
I definitely wouldn't go back.,,,,,,,,,,,,,,,,,anecdotes/miscellaneous,negative,2751,,,,,,,,
"While the ambiance and atmosphere were great, the food and service could have been a lot better.",ambiance,positive,10,18,atmosphere,positive,23,33,food,negative,50,54,service,negative,59,66,ambience,positive,882,food,negative,service,negative,,,,
"Our waitress was sweet and accomodating, not overbearing.",waitress,positive,4,12,,,,,,,,,,,,,service,positive,1124,,,,,,,,
I have tried literally every restaurant on curry row.,,,,,,,,,,,,,,,,,anecdotes/miscellaneous,neutral,3546,,,,,,,,
"My goodness, everything from the fish to the rice to the seaweed was absolutely amazing.",fish,positive,33,37,rice,positive,45,49,seaweed,positive,57,64,,,,,food,positive,3020,,,,,,,,
I went to this restaurant with a woman that I met recently.,,,,,,,,,,,,,,,,,anecdotes/miscellaneous,neutral,746,,,,,,,,
"Good spreads, great beverage selections and bagels really tasty.",spreads,positive,5,12,beverage selections,positive,20,39,bagels,positive,44,50,,,,,food,positive,3170,,,,,,,,
The food options rule.,food options,positive,4,16,,,,,,,,,,,,,food,positive,2171,,,,,,,,
Consistently good Japanese Tapas.,Japanese Tapas,positive,18,32,,,,,,,,,,,,,food,positive,2811,,,,,,,,
I went to Ruby Foo's after work with a group of 6.,,,,,,,,,,,,,,,,,anecdotes/miscellaneous,neutral,762,,,,,,,,
The sushi was awful!,sushi,negative,4,9,,,,,,,,,,,,,food,negative,339,,,,,,,,
My boyfriend and I went there to celebrate my birthday the other night and all I can say is that it was magnificent.,,,,,,,,,,,,,,,,,anecdotes/miscellaneous,positive,217,,,,,,,,
Now it's so crowded and loud you can't even talk to the person next to you.,,,,,,,,,,,,,,,,,ambience,negative,3478,,,,,,,,
"Go, go, hurry, before everyone finds out about it.",,,,,,,,,,,,,,,,,anecdotes/miscellaneous,positive,1180,,,,,,,,
I've been many time and have never been disappointed.,,,,,,,,,,,,,,,,,anecdotes/miscellaneous,positive,3372,,,,,,,,
The food was great.,food,positive,4,8,,,,,,,,,,,,,food,positive,776,,,,,,,,
Don't leave without trying One Night in Tokyo.,,,,,,,,,,,,,,,,,anecdotes/miscellaneous,positive,3208,,,,,,,,
I would go back tho.,,,,,,,,,,,,,,,,,anecdotes/miscellaneous,positive,2673,,,,,,,,
Definately check it out!!!,,,,,,,,,,,,,,,,,anecdotes/miscellaneous,positive,1380,,,,,,,,
You cannot go wrong with this place.,,,,,,,,,,,,,,,,,anecdotes/miscellaneous,positive,3641,,,,,,,,
"As a Japanese native, I've lived in the Tristate area for over 8 years, but I was just so amazed at this place.",,,,,,,,,,,,,,,,,anecdotes/miscellaneous,positive,2806,,,,,,,,
I loving bringing friends here -and I do so every chance I get.,,,,,,,,,,,,,,,,,anecdotes/miscellaneous,positive,2630,,,,,,,,
With the theater 2 blocks away we had a delicious meal in a beautiful room.,meal,positive,50,54,room,positive,70,74,,,,,,,,,food,positive,924,ambience,positive,,,,,,
Even my Indian friend couldn't believe how good and tasty everything was.,,,,,,,,,,,,,,,,,food,positive,3411,,,,,,,,
We were not dissappointed in the least bit by this little gem.,,,,,,,,,,,,,,,,,anecdotes/miscellaneous,positive,2164,,,,,,,,
A pleasant surprise.,,,,,,,,,,,,,,,,,anecdotes/miscellaneous,positive,3077,,,,,,,,
This was a repeat visit and we'll definitely be back again.,,,,,,,,,,,,,,,,,anecdotes/miscellaneous,positive,745,,,,,,,,
I love the fact that the pizza tastes so good and is so cheap.,pizza,positive,25,30,,,,,,,,,,,,,food,positive,1273,price,positive,,,,,,
"Service was prompt, friendly and great.",Service,positive,0,7,,,,,,,,,,,,,service,positive,179,,,,,,,,
OU MUST TRY THIS RESTAURANT.,,,,,,,,,,,,,,,,,anecdotes/miscellaneous,positive,2460,,,,,,,,
All pretty good.,,,,,,,,,,,,,,,,,anecdotes/miscellaneous,positive,3045,,,,,,,,
"Have eaten at Ginger House several times, and it's always good.",,,,,,,,,,,,,,,,,anecdotes/miscellaneous,positive,1698,,,,,,,,
"I haven't eat a lamb chop as delicious as that, the salads are really nice dressed with lemon and extra virgnin olive oil.",lamb chop,positive,16,25,salads,positive,52,58,,,,,,,,,food,positive,109,,,,,,,,
Drawbacks: service is slow and they don't toast!,service,negative,11,18,,,,,,,,,,,,,service,negative,1057,,,,,,,,
It is by far my favorite restaurant in Brooklyn.,,,,,,,,,,,,,,,,,anecdotes/miscellaneous,positive,2186,,,,,,,,
I've been to Joya twice and I will never go again.,,,,,,,,,,,,,,,,,anecdotes/miscellaneous,negative,3471,,,,,,,,
A hearty two thumbs up!,,,,,,,,,,,,,,,,,anecdotes/miscellaneous,positive,1401,,,,,,,,
Great find!!!,,,,,,,,,,,,,,,,,anecdotes/miscellaneous,positive,1112,,,,,,,,
"If only they delivered, they'd make a mint!",,,,,,,,,,,,,,,,,anecdotes/miscellaneous,positive,3368,,,,,,,,
Was surprisingly disappointed.,,,,,,,,,,,,,,,,,anecdotes/miscellaneous,negative,3495,,,,,,,,
The prices were fantastic.,prices,positive,4,10,,,,,,,,,,,,,price,positive,2451,,,,,,,,
I'm told that it is open 24hrs which is good.,,,,,,,,,,,,,,,,,anecdotes/miscellaneous,positive,948,,,,,,,,
What more could you want?,,,,,,,,,,,,,,,,,anecdotes/miscellaneous,positive,2202,,,,,,,,
Excellent experience.,,,,,,,,,,,,,,,,,anecdotes/miscellaneous,positive,2740,,,,,,,,
Definitely a neighborhood favorite.,,,,,,,,,,,,,,,,,anecdotes/miscellaneous,positive,537,,,,,,,,
"The food is terrible and overall, I would have to say avoid at all costs.",food,negative,4,8,,,,,,,,,,,,,food,negative,1548,,,,,,,,
The food is prepared quickly and efficiently.,food,positive,4,8,,,,,,,,,,,,,food,positive,134,,,,,,,,
"The food is fresh, delicious, and reasonably priced.",food,positive,4,8,priced,positive,45,51,,,,,,,,,food,positive,2708,price,positive,,,,,,
This is my favorite Italian restaurant in all of New York City.,,,,,,,,,,,,,,,,,anecdotes/miscellaneous,positive,1455,,,,,,,,
"Anyway, this is the last time I cross the williamsburg.",,,,,,,,,,,,,,,,,anecdotes/miscellaneous,negative,2591,,,,,,,,
I am bringing my whole family back next time.,,,,,,,,,,,,,,,,,anecdotes/miscellaneous,positive,1593,,,,,,,,
Love YUKA.,,,,,,,,,,,,,,,,,anecdotes/miscellaneous,positive,1769,,,,,,,,
"As we were leaving, the couple standing by the door said to another waiter, we're not in a hurry.",waiter,neutral,68,74,,,,,,,,,,,,,anecdotes/miscellaneous,neutral,3575,,,,,,,,
I have been coming to this neighborhood spot for years.,,,,,,,,,,,,,,,,,anecdotes/miscellaneous,neutral,1105,,,,,,,,
We will be back.,,,,,,,,,,,,,,,,,anecdotes/miscellaneous,positive,2575,,,,,,,,
The outdoor atmosphere of sitting on the sidewalk watching the world go by 50 feet away on 6th avenue on a cool evening was wonderful.,outdoor atmosphere,positive,4,22,,,,,,,,,,,,,ambience,positive,742,,,,,,,,
"A large is $20, and toppings are about $3 each.",toppings,neutral,20,28,,,,,,,,,,,,,price,neutral,1471,,,,,,,,
The spicy tuna and salmon are the best we've ever had.,spicy tuna,positive,4,14,salmon,positive,19,25,,,,,,,,,food,positive,1656,,,,,,,,
A guaranteeed delight!,,,,,,,,,,,,,,,,,anecdotes/miscellaneous,positive,2769,,,,,,,,
"The food was very good, a great deal, and the place its self was great.",food,positive,4,8,place,positive,46,51,,,,,,,,,food,positive,3681,ambience,positive,price,positive,,,,
The food is usually good but it certainly isn't a relaxing place to go.,food,positive,4,8,place,negative,59,64,,,,,,,,,food,positive,2205,ambience,negative,,,,,,
"After dinner, take your date to the HUGE dance floor, probably one of the biggest you'll see in NY.",dinner,neutral,6,12,dance floor,positive,41,52,,,,,,,,,ambience,positive,1159,,,,,,,,
The server was really cool and served us our food and drinks with a smile.,server,positive,4,10,served,positive,31,37,food,neutral,45,49,drinks,neutral,54,60,service,positive,628,,,,,,,,
"The dishes offered were unique, very tasty and fresh from the lamb sausages, sardines with biscuits, large whole shrimp to the amazing pistachio ice cream (the best and freshest I've ever had).",dishes,positive,4,10,lamb sausages,positive,62,75,sardines with biscuits,positive,77,99,large whole shrimp,positive,101,119,food,positive,2912,,,,,pistachio ice cream,positive,135,154
Went there for an office lunch.,office lunch,neutral,18,30,,,,,,,,,,,,,anecdotes/miscellaneous,neutral,3188,,,,,,,,
"We've only eaten in the restaurant once, but we have ordered many times for dinner.",dinner,neutral,76,82,,,,,,,,,,,,,anecdotes/miscellaneous,neutral,3041,,,,,,,,
